"","submit_date","APWR","ABWR","HTGR","MSR","LFR","iPWR","Industrial","Hydrogen","Desalination","Synthetic","Motive","Ammonia","SMR_deployment_dates","Technology","Safety","Burnup","Waste","Clean","Cost","Cooling","Distributed","Agenda","Network","Applications","Research","Science","Investment","Capacity","Knowledge","Organizations","Education","Compliance","Risks","Impacts","Reduction","Attraction","Savings","Assurance","Sufficient","Development","Methods","Compactification","Planning","Nonproliferation","Frameworks","Leadership","Interaction","Relations","Ecosystem","Technetium","Catalysts","Commercial","Sources","Devices","Actinides","group"
"1",2025-01-20 16:06:23.32,5,3,3,3,3,5,4,3,3,3,4,3,"2050 and after",5,4,3,2,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"senior"
"2",2025-02-03 10:09:31.735,5,1,4,1,4,NA,5,5,5,5,4,4,"2035 - 2040",4,5,4,2,5,4,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,"senior"
"3",2025-02-03 11:58:41.835,4,4,2,1,1,4,1,4,4,1,1,1,"2035 - 2040",4,5,4,4,5,5,4,5,3,3,2,2,3,2,2,3,2,3,3,2,3,3,3,1,2,1,1,2,2,3,2,3,1,3,3,2,NA,NA,NA,NA,NA,NA,"senior"
"4",2025-02-04 09:29:57.461,4,1,5,4,2,4,4,5,5,2,5,2,"2030 - 2035",2,4,2,2,4,3,4,5,2,1,2,3,2,3,2,1,3,3,3,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,3,3,2,2,4,4,2,2,"senior"
"5",2025-02-06 11:50:17.918,5,2,2,4,2,5,4,4,3,3,4,3,"2035 - 2040",4,4,3,4,4,4,2,2,1,2,3,3,2,3,3,2,2,2,3,2,1,2,3,1,2,2,2,1,2,3,1,3,1,3,2,3,2,NA,NA,2,NA,NA,"senior"
"6",2025-02-06 14:44:01.768,4,NA,4,NA,NA,4,4,4,NA,NA,NA,NA,"2035 - 2040",4,3,3,3,4,5,4,2,1,1,1,1,1,2,2,3,2,2,3,3,3,2,2,1,2,1,1,2,1,3,1,3,1,1,2,1,2,3,3,3,2,2,"senior"
"7",2025-02-10 10:33:46.051,5,4,1,1,1,1,5,5,5,3,3,2,"2035 - 2040",5,5,3,4,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,"senior"
"8",2025-02-10 10:35:02.495,4,2,3,4,2,3,5,2,3,2,3,3,"2035 - 2040",5,5,5,5,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,3,2,2,3,2,0,3,4,0,2,3,"senior"
"9",2025-02-10 10:44:33.423,1,1,NA,NA,NA,1,5,5,5,NA,5,NA,"2045 - 2050",NA,NA,NA,NA,5,5,NA,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,"senior"
"10",2025-02-10 10:44:55.6,NA,NA,NA,4,NA,NA,4,4,4,4,5,2,"2035 - 2040",4,5,4,4,5,3,4,4,2,3,3,2,2,2,2,2,2,3,3,2,3,3,1,3,2,2,3,3,3,3,2,2,2,3,2,2,3,3,5,4,4,3,"senior"
"11",2025-02-10 10:46:30.759,4,2,4,2,2,2,4,4,3,2,3,3,"2035 - 2040",4,4,3,3,3,4,4,4,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,"senior"
"12",2025-02-10 11:34:05.294,5,4,1,3,1,4,5,3,1,3,4,3,"2035 - 2040",5,4,4,4,4,5,3,5,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,2,3,2,3,3,3,0,3,2,3,3,3,4,3,5,3,"senior"
"13",2025-02-10 11:51:02.315,4,2,4,4,2,NA,4,4,4,3,3,3,"2035 - 2040",4,4,2,4,5,5,3,4,1,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,3,3,2,3,3,2,4,"senior"
"14",2025-02-10 12:33:53.863,3,3,3,2,3,3,1,1,1,1,1,1,"2030 - 2035",1,1,1,1,1,1,1,1,2,2,3,3,2,3,0,1,2,2,2,1,1,1,3,3,3,3,2,2,3,2,1,2,1,2,1,1,4,4,4,4,4,2,"senior"
"15",2025-02-10 12:43:37.087,4,4,4,4,2,4,4,4,4,4,4,3,"2040 - 2045",4,4,3,4,4,5,4,4,1,2,3,2,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,"senior"
"16",2025-02-10 14:03:18.952,4,2,4,3,2,2,4,4,2,2,4,2,"2035 - 2040",3,4,4,4,4,3,3,4,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,1,1,2,2,1,3,2,3,1,3,2,3,1,0,2,1,1,0,"senior"
"17",2025-02-10 15:41:26.65,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,"2030 - 2035",4,NA,NA,NA,4,NA,NA,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,5,5,5,"senior"
"18",2025-02-10 20:18:37.194,4,NA,NA,NA,NA,NA,4,3,4,3,4,3,"2045 - 2050",4,4,NA,NA,4,4,NA,4,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,NA,2,2,3,2,3,2,2,1,2,1,1,1,1,1,1,"senior"
"19",2025-02-11 08:40:31.568,4,2,4,2,3,4,4,4,3,4,3,3,"2030 - 2035",3,4,4,4,3,4,4,4,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,"senior"
